Door1,Door2,Distance
NatResourcesA,NatResourcesB,179.6666667
NatResourcesA,NatResourcesC,315
NatResourcesA,NatResourcesD,380.3333333
NatResourcesA,NatResourcesE,555.3333333
NatResourcesA,NatResourcesF,788.6666667
NatResourcesB,NatResourcesD,315
NatResourcesB,NatResourcesE,357
NatResourcesB,NatResourcesF,532
NatResourcesB,NatResourcesC,765.3
NatResourcesC,NatResourcesD,198.3
NatResourcesC,NatResourcesE,380.3
NatResourcesC,NatResourcesF,613.7
NatResourcesD,NatResourcesE,245
NatResourcesD,NatResourcesF,478.3
NatResourcesE,NatResourcesF,245
PhysicsA,PhysicsB,158.6666667
LifeSciencesA,LifeSciencesB,186.7
LifeSciencesA,LifeSciencesC,389.7
LifeSciencesA,LifeSciencesD,196
LifeSciencesA,LifeSciencesE,301
LifeSciencesA,LifeSciencesF,214.7
LifeSciencesB,LifeSciencesC,203
LifeSciencesB,LifeSciencesD,107.3
LifeSciencesB,LifeSciencesE,261.3
LifeSciencesB,LifeSciencesF,347.7
LifeSciencesC,LifeSciencesD,210
LifeSciencesC,LifeSciencesE,380.3
LifeSciencesC,LifeSciencesF,452.7
LifeSciencesD,LifeSciencesE,170.3
LifeSciencesD,LifeSciencesF,242.7
LifeSciencesE,LifeSciencesF,86.3
GentryA,GentryB,126
GentryA,GentryC,170.3
GentryA,GentryD,238
GentryA,GentryE,60.7
GentryB,GentryC,86.3
GentryB,GentryD,154
GentryB,GentryE,186.7
GentryC,GentryD,128.3
GentryC,GentryE,231
GentryD,GentryE,298.7
HermanA,HermanB,98
HermanA,HermanC,130.7
HermanB,HermanC,102.7
GwynnStanleyA,GwynnStanleyB,163.3
GwynnStanleyA,GwynnStanleyC,270.7
GwynnStanleyA,GwynnStanleyD,457.3
GwynnStanleyB,GwynnStanleyC,186.7
GwynnStanleyB,GwynnStanleyD,373.3
GwynnStanleyC,GwynnStanleyD,242.7
CurtisA,CurtisB,98
CurtisA,CurtisC,151.7
CurtisB,CurtisC,114.3
StudentCenterA,StudentCenterB,326
StudentCenterA,StudentCenterC,270
StudentCenterA,StudentCenterD,211
StudentCenterB,StudentCenterC,190
StudentCenterB,StudentCenterD,349
StudentCenterC,StudentCenterD,214
StricklandA,StricklandB,204
StricklandA,StricklandC,320
StricklandB,StricklandC,111
CornellA,CornellB,274
CornellA,CornellC,429
CornellB,CornellC,116
ArtsSciencesA,ArtsSciencesB,48
ArtsSciencesA,ArtsSciencesC,173
ArtsSciencesA,ArtsSciencesD,180
ArtsSciencesB,ArtsSciencesC,175
ArtsSciencesB,ArtsSciencesD,179
ArtsSciencesC,ArtsSciencesD,38
HulstonA,HulstonB,50
HulstonA,HulstonC,203
HulstonB,HulstonC,228
EllisA,EllisB,216
TateA,TateB,276
TateA,TateC,191
TateA,TateD,207
TateA,TateE,261
TateB,TateC,108
TateB,TateD,116
TateB,TateE,133
TateC,TateD,45
TateC,TateE,113
TateD,TateE,115
McAlesterA,McAlesterB,118.1104
McAlesterA,McAlesterC,70.86624
McAlesterB,McAlesterC,129.92144
ParkerA,ParkerB,59.0552
LafferreA,LafferreB,221.457
LafferreA,LafferreC,261.31926
LafferreA,LafferreD,468.01246
LafferreA,LafferreE,283.46496
LafferreB,LafferreC,200.78768
LafferreB,LafferreD,354.3312
LafferreB,LafferreE,177.1656
LafferreC,LafferreD,320.37446
LafferreC,LafferreE,236.2208
LafferreD,LafferreE,305.61066
SouthwestA,SouthwestB,170
ChemistryA,ChemistryB,133
ChemistryC,ChemistryD,186.7
StewartA,StewartB,175
WaltersA,WaltersB,152.5
WaltersA,WaltersC,152.5
WaltersB,WaltersC,52.5
MumfordA,MumfordB,90
MumfordA,MumfordC,75
MumfordB,MumfordC,75
FineArtsA,FineArtsB,45
FineArtsC,FineArtsD,60
FineArtsC,FineArtsE,100
FineArtsC,FineArtsF,102.5
FineArtsD,FineArtsE,40
FineArtsD,FineArtsF,100
FineArtsE,FineArtsF,60
MemorialA,MemorialB,142.5
MemorialA,MemorialC,197.5
MemorialB,MemorialC,222.5
WhittenA,WhittenB,80
MiddlebuschA,MiddlebuschB,62.5
MiddlebuschA,MiddlebuschC,232.5
MiddlebuschA,MiddlebuschD,232.5
MiddlebuschA,MiddlebuschE,350
MiddlebuschB,MiddlebuschC,232.5
MiddlebuschB,MiddlebuschD,232.5
MiddlebuschB,MiddlebuschE,350
MiddlebuschC,MiddlebuschD,75
MiddlebuschC,MiddlebuschE,135
MiddlebuschD,MiddlebuschE,162.5
SwallowA,SwallowC,62.5
SwallowA,SwallowD,97.5
SwallowB,SwallowC,97.5
SwallowB,SwallowD,62.5
RJIA,RJIB,50
RJIA,RJIC,115
RJIA,RJID,132.5
RJIB,RJIC,115
RJIB,RJID,132.5
RJIC,RJID,62.5
GeoScienceA,GeoScienceB,274
SwitzlerA,SwitzlerB,101
