Full Name,Name Shortened
Arts & Sciences,ArtsSciences
Chemistry Building,Chemistry
Cornell Hall,Cornell
Curtis Hall,Curtis
Ellis Library,Ellis
Fine Arts Building,FineArts
Gentry Hall,Gentry
,GeoScience
Gwynn / Stanley Hall,GwynnStanley
Herman Schlundt Hall,Herman
Hulston hall,Hulston
Lafferre Hall,Lafferre
Life Sciences Center,LifeSciences
McAlester Hall,McAlester
Memorial Union,Memorial
Middlebush Hall,Middlebusch
Mumford Hall,Mumford
Natural resources (Ag Science),NatResources
Parker Hall,Parker
Physics Building,Physics
Reynolds Journalism Institude,RJI
Southwest Village,Southwest
Stewart Hall,Stewart
Strickland Hall,Strickland
Student Center,StudentCenter
Swallow Hall,Swallow
Switzler Hall,Switzler
Tate Hall,Tate
Walters hall,Walters
Whitten Hall,Whitten
