NodeId, Classication
1, Alumni Center
2, University Department
3, Dining
4, University Department
5, Residential Hall
6, Historical Society
7, Residential Hall
8, University Department
9, Residential Hall
10, Parking & Transportation
11, University Department
12, University Department
13, Residential Hall
14, Residential
15, Residential
16, University Department
17, Residential Hall
18, Residential Hall
19, University Department
20, Residential Hall
21, Residential Hall
22, Residential Hall
23, Residential Hall
24, Library
25, University Department
26, Sports Complex
27, Parking and Transportation
28, Hospital
29, Residential Hall
30, University Department
31, Residential Hall/Dining
32, University Department
33, University Department
34, University Department
35, University Department
36, University Department
37, Residential Hall/Dining
38, University Department
39, Residential Hall
40, University Department
41, Residential Hall
42, Sports Complex
43, Sports Complex
44, University Department
45, University Department
46, Residential Hall
47, Parking and Transportation
48, Market
49, University Department
50, University Department
51, Residential Hall
52, Residential Hall
53, Dining
54, Residential Hall
55, University Department
56, Residential Hall
57, Sports Complex
58, University Department
59, Sports Complex
60, University Department
61, Parking and Transportation
62, University Department
63, University Department
64, Parking and Transportation
65, Parking and Transportation
66, University Department
67, Residential Hall
68, University Department
69, University Department
70, University Department
71, University Department
72, University Department
73, University Department
74, University Department
75, University Department
76, University Department
77, Academic Support Center
78, Academic Support Center
79, Academic Support Center
80, University Department
81, University Department
82, University Department
83, University Department
84, University Department
85, University Department
86, University Department
87, University Department
88, University Department
89, University Department
90, University Department
91, University Department
92, University Department
93, University Department
94, University Department
95, University Department
96, Library
97, Library
98, University Department
99, University Department
100, University Department
101, University Department
102, University Department
103, University Department
104, University Department
105, Student Center
106, Student Center
107, Student Center
108, Student Center
109, University Department
110, University Department
111, University Department
112, University Department
113, University Department
114, University Department
115, University Department
116, University Department
117, University Department
118, University Department
119, University Department
120, University Department
121, University Department
122, University Department
123, University Department
124, University Department
125, University Department
126, University Department
127, University Department
128, University Department
129, University Department
130, University Department
131, University Department
132, University Department
133, University Department
134, University Department
135, University Department
136, University Department
137, University Department
138, University Department
139, University Department
140, Memorial Student Union
141, Memorial Student Union
142, Memorial Student Union
143, University Department
144, University Department
145, University Department
146, University Department
147, University Department
148, University Department
149, University Department
150, University Department
151, University Department
152, University Department
153, University Department
154, University Department
155, University Department
156, University Department
157, University Department
158, University Department
159, University Department
160, University Department
161, University Department
162, University Department
163, University Department
164, University Department
165, University Department
166, University Department
167, University Department
168, University Department
169, University Department
170, University Department
171, Dining
172, Dining
173, University Department
174, University Department
175, University Department
176, University Department
177, University Department
178, University Department
179, University Department
180, University Department
181, University Department
182, University Department
183, University Department
184, University Department
185, University Department
186, University Department
