Full Name,Name Shortened
Arts & Sciences,ArtsSciences
Chemistry Building,Chemistry
Cornell Hall,Cornell
Curtis Hall,Curtis
Ellis Library,Ellis
Fine Arts Building,FineArts
Gentry Hall,Gentry
Geological Science,GeoScience
Gwynn / Stanley Hall,GwynnStanley
Herman Schlundt Hall,Herman
Hulston Hall,Hulston
Lafferre Hall,Lafferre
Life Sciences Center,LifeSciences
McAlester Hall,McAlester
Memorial Union,Memorial
Middlebush Hall,Middlebusch
Mumford Hall,Mumford
Natural Resources (Ag Science),NatResources
Parker Hall,Parker
Physics Building,Physics
Reynolds Journalism Institude,RJI
Southwest Village,Southwest
Stewart Hall,Stewart
Strickland Hall,Strickland
Student Center,StudentCenter
Swallow Hall,Swallow
Switzler Hall,Switzler
Tate Hall,Tate
Walters Hall,Walters
Whitten Hall,Whitten
Hill Hall,Hill
Townsend Hall,Townsend
Academic Support Center,Academic
